Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-03-17,10595.2,10595.2,10595.2,10595.2,0,0,0
2000-03-20,10680.2,10680.2,10680.2,10680.2,0,0,0
2000-03-21,10907.3,10907.3,10907.3,10907.3,0,0,0
2000-03-24,11112.7,11112.7,11112.7,11112.7,0,0,0
2000-03-27,11025.9,11025.9,11025.9,11025.9,0,0,0
2000-03-28,10936.1,10936.1,10936.1,10936.1,0,0,0
2000-03-31,10921.9,10921.9,10921.9,10921.9,0,0,0
2000-04-03,11221.9,11221.9,11221.9,11221.9,0,0,0
2000-04-04,11164.8,11164.8,11164.8,11164.8,0,0,0
2000-04-05,11033.9,11033.9,11033.9,11033.9,0,0,0
2000-04-06,11114.3,11114.3,11114.3,11114.3,0,0,0
2000-04-07,11111.5,11111.5,11111.5,11111.5,0,0,0
2000-04-10,11186.6,11186.6,11186.6,11186.6,0,0,0
2000-04-11,11287.1,11287.1,11287.1,11287.1,0,0,0
2000-04-12,11125.1,11125.1,11125.1,11125.1,0,0,0
2000-04-14,10305.8,10305.8,10305.8,10305.8,0,0,0
2000-04-17,10582.5,10582.5,10582.5,10582.5,0,0,0
2000-04-19,10675.0,10675.0,10675.0,10675.0,0,0,0
2000-04-20,10844.1,10844.1,10844.1,10844.1,0,0,0
2000-04-25,11124.8,11124.8,11124.8,11124.8,0,0,0
2000-04-27,10888.1,10888.1,10888.1,10888.1,0,0,0
2000-04-28,10733.9,10733.9,10733.9,10733.9,0,0,0
2000-05-01,10811.8,10811.8,10811.8,10811.8,0,0,0
2000-05-02,10731.1,10731.1,10731.1,10731.1,0,0,0
2000-05-04,10412.5,10412.5,10412.5,10412.5,0,0,0
2000-05-08,10603.6,10603.6,10603.6,10603.6,0,0,0
2000-05-09,10536.8,10536.8,10536.8,10536.8,0,0,0
2000-05-10,10367.8,10367.8,10367.8,10367.8,0,0,0
2000-05-19,10626.9,10626.9,10626.9,10626.9,0,0,0
2000-05-22,10542.5,10542.5,10542.5,10542.5,0,0,0
2000-05-23,10422.3,10422.3,10422.3,10422.3,0,0,0
2000-05-30,10527.1,10527.1,10527.1,10527.1,0,0,0
2000-05-31,10522.3,10522.3,10522.3,10522.3,0,0,0
2000-06-05,10815.3,10815.3,10815.3,10815.3,0,0,0
2000-06-06,10735.6,10735.6,10735.6,10735.6,0,0,0
2000-06-07,10812.9,10812.9,10812.9,10812.9,0,0,0
2000-06-08,10668.7,10668.7,10668.7,10668.7,0,0,0
2000-06-09,10614.1,10614.1,10614.1,10614.1,0,0,0
2000-06-13,10621.8,10621.8,10621.8,10621.8,0,0,0
2000-06-14,10688.0,10688.0,10688.0,10688.0,0,0,0
2000-06-15,10714.8,10714.8,10714.8,10714.8,0,0,0
2000-06-16,10449.3,10449.3,10449.3,10449.3,0,0,0
2000-06-19,10557.8,10557.8,10557.8,10557.8,0,0,0
2000-06-20,10435.2,10435.2,10435.2,10435.2,0,0,0
2000-06-21,10497.8,10497.8,10497.8,10497.8,0,0,0
2000-06-22,10376.1,10376.1,10376.1,10376.1,0,0,0
2000-06-23,10404.8,10404.8,10404.8,10404.8,0,0,0
2000-06-26,10543.0,10543.0,10543.0,10543.0,0,0,0
2000-06-27,10504.5,10504.5,10504.5,10504.5,0,0,0
2000-06-28,10527.8,10527.8,10527.8,10527.8,0,0,0
2000-06-30,10447.9,10447.9,10447.9,10447.9,0,0,0
2000-07-03,10560.7,10560.7,10560.7,10560.7,0,0,0
2000-07-06,10481.5,10481.5,10481.5,10481.5,0,0,0
2000-07-07,10636.0,10636.0,10636.0,10636.0,0,0,0
2000-07-10,10646.6,10646.6,10646.6,10646.6,0,0,0
2000-07-12,10783.4,10783.4,10783.4,10783.4,0,0,0
2000-07-13,10788.7,10788.7,10788.7,10788.7,0,0,0
2000-07-24,10685.1,10685.1,10685.1,10685.1,0,0,0
2000-07-31,10522.0,10522.0,10522.0,10522.0,0,0,0
2000-08-01,10607.0,10607.0,10607.0,10607.0,0,0,0
